input_text,target_text,generated_text
fix | washer | agitator | business | bit | use | go | time,"Cheap fix for an old washer; take the agitator off, put these in, replace the agitator, and you're back in business.  You can even flip the old ones around sometimes to get a bit more use out of them, but these are cheap enough to put in if you're going to take the time to fix the washer anyway.","I fixed a washer with a rotary washer. It worked great until I tried it. Now that I have fixed the washer, I changed the agitator. It worked great and I got a bit out of it. It"
dryer | vent | hose | bill | compression | install | snap,"Moved into new apt, needed dryer vent hose, this fit the bill. The compression clamps made install a snap.",I have a hairdryer. It is easy to install and not as messy as the others. I use it only when I have a small vent. I have a hose that is attached to the front of the dryer and
money | saver | selfer | quality,Money saver for a do-it your-selfer-excellent quality,I spent my money and used this as my saver. It never made any changes to my self. It was so much better than when I first got this started. I tried it but it was useless. I got online and used it spar
failure | price | margin | money | time,"Common failure part in these dryers, but with the great price on these replacements I still have margin to make money and repair the right time the first time!",I have had multiple failed attempts at my home and I was delighted. But the price was too mare for me and the margin for profit was much smaller. I tried this one for the first time and it was not perfect. I paid full price
bullet | ice | gift | sister | box | summer | heat | wave | unit | air | year | mark | warranty | advice,"Luved it for the few months it worked!  great little bullet shaped ice cubes. It was a gift for my sister who never opened the box.  The next summer during a heat wave I asked for my unused gift back, ha!, and was in heaven for a few months.  the next summer after a few weeks the unit gave out.called new air and it was over the one year mark so no warranty.  so my advice is do not buy without  extended warranty!",I purchased thisbullet to go with the ice. It's a nice gift because I don't have any ice at all. I send it as part of a gift because I love it so much and I have
trick | dryer | bit | wire | replacement | element | bag | trip | hardware | store | hour | repair | time | dry,"This did the trick to make my dryer new again. It is a bit different than the original. You have to splice 2 wires together, so be prepared with wire cutters and something to crimp it. The replacement needs screws to secure to the element and in my bag there wasn't any, so I had to make a quick trip to the hardware store to buy them. (all of `10 cents,but added an extra hour to my repair time). All in all my clothes are actually drying at the right time now and I don't have to run it a second time. It came new in plastic bag.",I purchased a trick dryer which came with a tiny bit of wire. I was really disappointed that the wire had worn off during my replacement. I had to replace the element that was damaged during my trip to the store that I
foot | dryer | vent | pipe | end | right | angles | go | floor | hose | come | move | washer | outside | house | vacuum | cleaner | blower | suction | kind | section | tubing | brush | lint | air | fear | run | thing | clodbuster | attachment | get | hand | tape | resistance | drill | have | product | point | reference | time | load | bath | take | clean,"We have 24 foot of solid dryer vent pipe ending in 3 right-angles before going through the floor into the flexible dryer-vent hose coming from the dryer.  I can't get behind the dryer without moving both the washer and dryer and they are HEAVY.  So being lazy I decided to clean the vent from the outside of the house inward.  I didn't use a vacuum cleaner or a blower or suction of any kind.  I did tighten each section of tubing with pliers and taped them.  I threaded all 24 foot of tubing with the brush on the end into the outside vent and then backed it out.  I got a good amount of lint clods out.  Then I turned on the dryer to blow everything out.  I got no air coming out at all.  My fear had come true, I had forced gobs of lint into the right-angles at the end of the run.  I still didn't want to move that washer and dryer so I figured I'd try one other thing, use the clodbuster attachment.  Now I'm really getting lazy so I tightened each tubing section by hand (no pliers) and didn't use tape.  I pushed all 24 foot of tubing into the vent until I hit some resistance and then turned the tubing by hand (too lazy to hook the drill up).  Then I pulled it all out and there wasn't any lint at all that came out. So now I'm resigned to having to move the washer and dryer, but before I do I figured I might as well turn the dryer on and see what happens.  Lots of lint clods blew out and kept coming out for about 20 seconds.  I've attached pictures of it.  I'm really happy with this product and if it worked for me with all the shortcuts I took it will probably work great for you.  As a point of reference we built this house five years ago and this is the first time I ever cleaned the vent.  A load of ten bath towels used to take 45 minutes to dry, lately it's been taking 3 to 4 hours, so I knew I couldn't put cleaning the pipe off any longer.","I have a 30-foot foot dryer and this one has a very good vent. The end of the pipe is right there, and the angle is right there, so I can get the hose off. It is easy to run through"
thing | kit | price | dryer | way | bit | construction | vacuum | time | brush | vent | pull | drill | attic | task | spend | hour | climb | disassemble | pipe | minus | connector | duct | risk | lot | money,"first thing first: it works. the kit is great in what it consists of and the price is just right i think. to call someone to clean my dryer vents i got quoted from 80 all the way up to 200 bucks. so if you were able to do it yourself you will need to invest a bit more in a ""construction"" vacuum that cost about 80-100 bucks and start the savings basically from the second time you do it.

so whats with the 3*? my brush broke inside my vent!!!! while i was pulling it out, and yes i was using a drill, all the pieces came out except the round brush. i had to climb to my attic and push it from the other side to come out... what was supposed to be an easy task ended up with me spending over an hour extra in climbing in my attic, disassembling the HVAC pipe so that i can get in there and push down on the brush...

another minus for this kit is that while it is fairly bendy, it will not go very smoothly through your flexible insulated pipes and most likely push the pipe out from its connector.

with all that said, if your vent duct doesnt have to many bends, and you want to take the risk (maybe i had a defective kit that the brush broke), you might save a lot of money doing it yourself!",Everything about this kit is great! I didn't realize that this kit comes with a price tag that is much less than what the others have quoted for. I do wish there weren't any surprises about this kit when it came to
motor | humidifier | vinegar | filter | operate | dust | way,"Since the motor on my humidifier still works, all I had to do was run vinegar through it twice and replace the filter.  It's operating good as new, at least until it doesn't.

The filter is important as it reduces the really fine white dust just as advertised.  There's no way to look at the old used filter to know it should be replaced, but there's no way one of these can be used for two seasons.",I bought this motorized humidifier to replace my older motorized humidifier. I had to use a separate filter to remove dust and make it work better.
appliance | money | tube | look | show | element,"As the prices go up on appliance parts, you have to look elsewhere to save money.
  Sooooo... 30 minutes or so on You tube looking up videos showing you how to install the element could save you 100 bucks or more.
Mr Burke",I like the appliance of tube cameras. It doesnt really help me with my money. I have a huge tube of hair but it doesnt look very professional. I would suggest that you give it 10 stars but it is way
wisdom | spend | lot | money | replacement | year | washer | get | lid | switch | motor | have | timer | loader | carry,"Consider the wisdom of spending a lot of money on replacement parts for a 10+ year old washer that you originally bought for $400. This is one of the cheaper parts so I could see getting this one (and maybe the lid switch or motor couplings).  If you're having problems with your motor/clutch/timer or other electrical part, you might want to think about getting another top loader like an Amana before they stop carrying them in stores in about a year or so...","I have been using this washer for years and I was first introduced to it in Madera in the early 90's and for some years had them ship me the unit to install the washer. The lid is now open and open, so I"
water | gallon | service | capacity | issue | flow | look | filter | deal | include | manufacturer | site | pack | buy | price | easy,"This is one of the more effective water filters I've used.  It states 300 gallon service capacity.  At least I've used them for over that amount without issue.

When you change filters, the flow acts funny for about the first half gallon - that's normal.  Some filters produce cloudy-looking water for the first gallon, but this one doesn't.  I've had no issues with these filters.

This is by far the simplest, most secure and easiest filter to install that I've experienced.  Also, I didn't find a better deal anywhere else including the manufacturer's site.  They try to sell these single by single, but sometimes in a pack of three.

It's just another filter to keep buying at its hefty price.  But its easy to install.","I have a gallon of water, and I have no issue with it. When I fill a gallon a gallon, I simply fill it with water, and it will give me the necessary capacity to run my water through"
dryer | cord | unit | manor | quality,I purchasaed a new dryer and did not want to reuse the cord from my old unit. This unit installed in a pretty straight forward manor. Quality was as expected. No Complaints,I purchased a Dryer with a cord. It works just like any other unit I've tried. I have no complaints about the dryer cord. I have a large unit that is smaller than the one that is mounted here
tool | unit | build | quality | photo | charger | plastic | case | led | plus | have | drive | speed | drilling | bit,"This is a great little tool. I use to use a bigger Dewalt unit, which was nice, but bigger and heavier than needed. The Hitachi should be able to do 99% of what I did with my Dewalt. I was also impressed with how fast the batteries charge (40 minutes). The build quality seems excellent. It comes with some bits (see photo I uploaded), two batteries, charger, and a plastic case. The LED lights are a plus.

Note though, that this doesn't have two ""speeds"" like my older Dewalt does, having a driving speed and a drilling speed. This Hitachi may be a bit slow for drilling.",I bought this to serve as my tool when I buy any new one. I was surprised that the unit itself was not built to measure up to the quality promised by the photo attached. The unit comes in a plastic case with a printed
failure | load | replacement | customer | run | time,Common failure part on Whirlpool built top load washers. This is an easy replacement and the customer was up and running in no time.,I have had multiple failed loads due to afaulty load. I have now offered a replacement for this product. I am 100% certain that the customer will get the same results as the original one I purchased. I have a longer warranty
extension | kit | foot | vent | angle | job | adapter | rod | shop | vac | ton | lint | gallon | bucket | safety | surprise | dryer | bit | auto | cycle | dry | time | want | fire | hazard | difference | run | length | product,"Works great. I used it and an extension kit with extra rods to to clean a 21 foot long vent with a two right angle turns and it did a fantastic job with the adapter that lets you put the rod through and attach a shop vac. Got a TON of lint out, about a 5 gallon bucket full. Inside of the vent was left shiny and clean. Good for safety especially with such a long vent and to my surprise the dryer actually works quite a bit better now. On the auto cycle I used to have to run it again if I was drying heavy things like jeans or blankets/comforters etc... to fully dry things. Now it does it in one cycle and take about 25% less time to go through the auto dry cycle.

I was just wanting to clean out a potential fire hazard but it really does make a big difference running through a dirty vent vs. a clean one. Might be due to the long length of my vent but very happy with this product.","I was excited to get this product because it's so convenient and easy to use. I took it apart because it was so thin and made my foot super comfortable. Also, it adjusts to my foot without a huge amount of water"
moon | use | range | air | price | internet | cook | steel | stain | fridge | dishwasher | time,i cook only once in a blue moon.  i was shocked to see with as little use as this range has had that the grates look like they were under heavy use for years!!!  i called Jenn air and spoke with Adam A.  and they wouldn't exchange them or fix them.  they only offered my 25% off ( which was the same price anyway from the internet).  i can't really compare much else on the range since i haven't used it much and i am  not much of a cook!  the stainless steel does tend to rust and stain.  i got a stainless steel fridge and dishwasher  at the same time  by other brands and those seem to not have the same stainless steel issues.,"I bought this for personal use. It came in the range of air conditioners that come in, but I can only buy them online. I had to look at the other models and I couldn't pass them up. I found them to"
muti | pack | job | check | hand,This muti pack makes sure I always have the part to finish the job. I can be in and out with a check in hand.,Muti-Pack: Great job Muti-Pack. I really liked the check-in box but it wasn't quite enough for my hand. Poor check-up.
dryer | thermostat | heat | element,"A dryer thermostat which does as it was designed, to limit the heat to the element of your dryer
Mr Burke","I have a hairdryer with thermostat. It doesn't produce the same results as other humidifiers with constant heat. However, I do not use any external heating element. This one is nice. It is easy to run around"
failure | agitator | service | replacement,Common failure with the whilrlpool agitator after a few years of service. I'm in and out with these replacement parts on the van.,"I have had multiple failed agitators and my waterpik has failed. I had one of them break off during my service. I got bothered by my failure to calibrate my agitator. It worked great, and I"
price | sense | hand | delivery,Price is good and it makes sense to have a few spare fuses on hand. Delivery was excellent.,I was attracted to this at a much higher price and this was definitely worth it. I have a good taste but can't live without it! I also buy the regular hand delivered items.
job | purchase | kit | dog | couple,"works great instructions made job very simply just need the right tools, purchase kit, not just dog ears well worth the couple of extra pennies",I was excited to get this kit because it's so cute. I have a few other items that I would want to have as part of my pet. I am also very happy with the kit.
quieter | motor | hood | fan,"works great and very quiet, much quieter than original motor in hood fan and faster. would recommend to any one needs a fan motor","I am a diehard bare minerals fan. I purchased this to serve as my idleter, and I love that it has a huge motor. I am an avid motorcyclist and it is easy to maneuver. I just plug"
warehouse | deal | coil | timer | switch | dryer | run | tumbler | room | touch | problem | thermostat | youtube | video | guy | heater | element | inspection | casing | holder | take | thing | get | unit | go | bin | manufacturer | lot | trouble | damage | laundrymat,"I got a warehouse deal ""LIKE NEW"" and when I installed it, the coil got hot with the timer switch ""on"" but the dryer wasn't running. So in other words, I turned on the dryer to time dry 30 mins, but didn't start the tumbler yet. When I went back in the laundry room about 30 minutes later, it was incredibly hot in there, so I felt the dryer and it was very hot to the touch. I shut it off, unplugged and proceeded to see what the problem was. I changed the thermostat timer and still did the same. I found a youtube video where the guy says the heater element is grounded out and will stay on. Upon very close inspection to the element (after it cooled off), I notice one of the ceramic pieces that hold a coil was broken off and the coil was touching the casing. I flipped the coil back on the ceramic holder and plugged it back in. It worked! Well, I'm not taking any chances with this thing getting hot like it did the coil slips off the broken holder and grounds out again. This unit is going back, and I guess I know why it was in the ""used"" bin. I don't blame the manufacturer, it's just a broken unit that got re-sold. The next unit I will test BEFORE I install it. That would have saved me from a lot of trouble and potential damage from the heater coil being stuck on. Meanwhile, off to the laundrymat I go!","I like thiswarehouse because it's not really a big deal for me. No more coils, no more switches, no more switches needed, no more switch to the dryer, no more switch to the tumbler, just to"
use | manufacturer | item | warranty | case | think | buy | product | date | subject | unit | seller | consent | reason | copy | receipt | request | dealer | work | web | site | customer | purchaser | risk | box | scratch | dent | year | situation | replacement | refund | day | support | fb | pm | addition | consumer | company | sell | position | integrity | ice | machine | fail | negate | workmanship | dispute | department | matter | response | give | maker | exist | icemaker | time | cool | estimate | pump | water | getting | mechanism | hope | capacity | reference | gift,"Be careful, NewAir will not stand by their products. Our NewAir broke within the first 4 hours of use.  The manufacturer will NOT cover the item under warranty. Just in case you're actually thinking of buying a NewAir product... think twice...

From: NewAir Sales <sales@newair.com>
Date: Fri, Nov 14, 2014 at 11:03 AM
Subject: Re: Icemaker return
To: Susan Ferguson <xxxxx@gwmail.gwu.edu>

Hi Susan,

The manufacturer warranty is void if the unit is purchased by a private seller who does not have our consent to sell our products. This is the same reason why we ask for a copy of your receipt upon requesting warranty claims because if it not from a valid authorized dealer we will not proceed with warranty work. We also list our authorized dealers on our web site for customer use. We stand behind our products, however when an item is purchased from a private seller the purchaser runs the risk of the item being used, open box, refurbished, and or a scratch and dent. Our one year limited manufacturer's warranty is only valid on new items sold by our authorized online dealers. It is unfortunate to see that you are in this situation, however you will need to contact the seller of the item for a replacement or refund.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 7:59 PM, Susan Ferguson <xxxxx@gwmail.gwu.edu> wrote:
Hello Mireya-

I'm sorry but I thought the manufacturer warranty was for the manufacturer, NewAir.  Please explain why the warranty is not valid in this case.  I don't see anywhere in the warranty exclusions that the warranty is not valid if not purchased from an authorized dealer.  In addition, a consumer would never know who ""authorized dealers"" are because if a company is selling your product doesn't that implicitly make them authorized to do so?

I sincerely hope that NewAir will reconsider this position and stand by the integrity of their products.  This ice machine was literally used for four hours before failing and it is, quite frankly egregious that your company is negating a warranty that explicitly states it will repair or replace defective materials or workmanship for up to one year.

Please let me know how I can talk to a dispute department regarding this matter.  I look forward to your response and I will refrain from giving any reviews of your product until this matter is resolved.

Thank you,
Susan Ferguson

On Thu, Nov 13, 2014 at 3:10 PM, NewAir Sales <sales@newair.com> wrote:
Hi Susan,

Unfortunately, the ice maker was not purchased from an authorized dealer. You will need to contact the seller ""Mehadrin"" through Amazon for any existing issues on your unit.

Have a great day!

Mireya
Customer Support
NewAir | 3419 East Chapman Ave. #190 | Orange, CA 92869
Ph: 855-963-9247 Em: sales@newair.com
FB: facebook.com/NewAirUSA Twitter: @NewAirUSA
Pinterest: pinterest.com/NewAirUSA Instagram: NewAirUSA
Web: [...]
""Made by awesome""

On Thu, Nov 13, 2014 at 12:32 PM, Susan Ferguson <xxxxxxxxx@gwmail.gwu.edu> wrote:
Hello-  I received an AI-100S icemaker in March 2014.  I used it one time and within 4 hours the cooling unit had shut down.  My best estimate is that the pump was still working (the water was getting pumped through) but the cooling mechanism was not.  When I plugged the unit back in to try it a few hours later, the cooling mechanism never turned on.

Since this product is still under warranty, I am hoping to acquire a new unit since this particular one has essentially never been used and is obviously faulty in some capacity.

I have attached the receipt for your reference.  It was purchased as a gift through Amazon Marketplace.  Thanks so much and I look forward to your response.

Susan Ferguson","I have been using this product since it launched, back several months ago. I was not happy with how it performs today. I did however, and I did not find a better one. I am thinking maybe I should get it back"
range | hood | filter | have | door,I bought a new range hood and found I needed a filter as it did not come with it.  I looked at it at Home Depot for about 9 dollars more then using Amazon Prime and having it the door within 2 days. It fit perfectly our new hood.,"i love this range. The hood is nice, but the filter does not have a hood. I can see having it on the door, which does not fit the door."
contraption | go | project | lot | make | drill | way | dryer | vent | nest | residence | lint | catcher | month | order | time | couple | space | keep | clean,"At first this contraption was a little confusing. I read the directions about 3 times before I felt okay about going through with the project - was not fully confident as there were a lot of warnings about making sure the drill was going the right way/you turned it the right way so you wouldn't lose rods in the dryer vent. Scared me a little. However, the project turned out really well. We didn't lose any rods (thankfully) and we got out the birds nest that had taken residence in our dryer vent!!
The part that was for the lint catcher was convenient as well and is actually recommended to be used at least once a month in order to clean out the lint catcher. I do need to keep up with this but it isn't convenient to have to put together and tape the rods each time when you only really use it for a couple of minutes. However, if you have a handy space to keep it already together, I can see how this would be even better for keeping up with cleaning the lint out.","I have been using this contraption for about 1 month, and I have learned the hard way that it can be a big project. It involves a lot of work and I'm going to try it again if I decide"
mistake | buy | dealer | machine | money,"see original remarks, made the mistake of buying it again from same dealer same problems different machine.  Save your money !!",I made a mistake by buying from a dealer who has a huge machine but I didn't know what I was doing and I got bothered by the dealer. I paid nothing for it and I got paid almost nothing. It
star | dont | product | ice | machine | work | time | year | warranty | dealer | purchase | manufacturer | method | honor | piece | junk,"We would give less than 1 star if possible DONT BUY THIS PRODUCT.  The ice machine stopped working four hours after we used it the first time.  We notified New Air and they stated they would not honor their one year warranty because ""an authorized dealer didn't sell"".  We bought this product on Amazon and never even thought we would have to cross check our purchase with the manufacturer.  NewAir does not stand by their products and they will use any method to get out of honoring their warranty.  I have a $200 piece of junk now, I will NEVER buy another NewAir product again.","I am so disappointed that AstraZeneca stopped using this product after I had installed it. I had to replace it with a new one, because I didn't think it would work. After using it, my machine started"
vent | house | winter | color,I like this as a vent as well as something that will keep house warmer in winter.  I sanded it and then painted it the same color as the house.  Looks great.,I have been aventurist for many years and loved every minute of it! I live out of my house in the winter and hated to have to go to the store to get it all done. I have a bright blue
filter | accord | literature | taste | water | coffee | tea | home | soda | sodastream | drink | habit | replace | light,"This is the OEM filter. It removes contaminants and lead according to the literature, and it does improve the taste. I use the water for my coffee, tea, home made soda [Sodastream], and drinking water. Very satisfied with the taste. I also make a habit of replacing these whenever the ""replace light"" comes on.","I have been using this filter for years and in accordance with the literature, I have no taste for water, no coffee, no tea, no coffee, no tea, no sugar, no artificial dyes, no artificial dyes, no"
life | review | dryer | vent | sit | kitchen | table | wait | bubble | product | work | think | go | surgery | budget | shot | trip | appliance | store | husband | family | labrum | shoulder | man | world | problem | drill | bunch | musty | lint | wall | consist | material | facelift,"So, this is what life comes down to when you are 50 years old:  reviewing dryer vent cleaners while sitting at your kitchen table waiting for American Idol.  This is not what I envisioned when I was 12, I can tell you that much.  You kids who think it won't happen to you?

It will.  Sorry to burst your bubble.

That said, the product works great.  Our dryer pretty much stopped working and we were thinking we needed a new one, which was seriously going to eat into my plastic surgery budget.  One last shot before a trip to the appliance store was this Gardus LintEater.  My husband, who is not the handy one of the family, had to do the work as I have a torn labrum.  (Which sounds dirtier than it is - that's part of your shoulder.)  He, the clumsiest man in the world, had absolutely no problem using this.  I warned him to read the directions first, and he actually listened and followed.  He hooked it up to the drill, and away he went.  He got a bunch of musty, wet lint that had probably been up inside the wall since 1977  - probably consisting of bell bottom material and macram.

Now our dryer actually dries clothes again, and I can continue to save for my facelift. Thank you Gardus.",I have had multiple surgeries on my hands that have left long scars and I've had some amazing results. Here's my review. The dryer vent is so soft and you can sit at the table while I wait for it to dry
insert | metal | coupler | shaft,"The all-plastic insert ones are better than the ones with the metal ones - I used one of the metal inserts ones and after a short while the insert just spun inside of the coupler, which made me have to replace it AND pry off the metal insert from the shaft, which was the most annoying part.",I have an insert from metal and this coupler is nice. It looks like solid metal with a couple of screws. I also buy the insert from Sally's. It's a nice little
